fold,実際,機能B,confidence,由来,理由,LightGBM,XGBoost,近傍5件の中央値,参考: LightGBM+文字TF-IDF
1,35900.0,38500.0,0.5,llm,統計モデルは47k前後だが、最も類似する同型車の成約が38.9k、他の類似V8 4WDも35.8kであり、Expressは廉価グレードのため類似事例側に寄せた。,47673.687019855424,46766.28515625,35780.0,37054.12478139248
1,19995.0,24200.0,0.62,llm,"統計モデル約23,000を出発点に、類似事例が22.6k〜27.3k（中央値約26k）と上振れしているため中間の24,200とした。ディーラー出品のXLT SuperCrew 4WD V8で装備も標準的、価格を大きく動かす記述はない。",23009.551162146654,22997.337890625,25980.0,21317.050019101152
1,3000.0,3800.0,0.55,llm,"統計モデル（約4,000）を出発点に、新品クラッチ・触媒・ヘッドガスケット交換や整備記録ありというプラス要素と、電装不良・ルーフレール劣化のマイナスを相殺。類似事例のclean/manual/4WD帯（1,500〜6,500）にも収まる水準とした。",4068.1910732984757,3974.975830078125,1900.0,3732.872515590937
1,27000.0,16500.0,0.5,llm,"統計モデル予測（約16,200〜17,100）を出発点とし、走行18万マイルと6.4L（弱点エンジン）はマイナスだが、新品ターボ・デリート・リフト・多数の装備と売り急がない姿勢がプラスで相殺されると判断した。",16214.656429274732,17088.671875,13900.0,14746.078857553834
1,27500.0,25500.0,0.5,llm,統計モデルは1.6万前後だが、同年式・低走行のPromaster 2500の類似事例は2.6〜2.8万で一貫しており、商用バンの相場を木モデルが過小評価していると判断。低走行(1.8万マイル)・excellentを加味し2.5万台とした。,17443.348565410673,15807.4150390625,33990.0,28304.928423905578
1,17995.0,16900.0,0.68,llm,"統計モデル(15.6k〜16.3k)と近傍中央値16,995を出発点に、Touring Elite（ナビ・DVD・サンルーフ・革）でフル装備、ワンオーナー・整備記録ありという記述を小幅なプラス材料として16.9k程度と判断。",16328.513646570258,15602.3515625,16995.0,15394.541215131292
1,9995.0,12800.0,0.6,llm,"統計モデルは11,000前後だが、類似RX450hは13,000〜15,000。走行17.6万マイルは類似事例より多い一方、ハイブリッドバッテリー交換済み・新品タイヤ・フル装備・1オーナーが加点材料なので中間の約12,800とした。",11078.2923178597,10976.099609375,14900.0,11623.316200612311
1,7985.0,7600.0,0.66,llm,"統計モデル約7,900〜8,000を出発点に、類似事例が6,300〜8,000に分布することを考慮。事故無し・低走行・良好な状態の記述はプラス材料だが宣伝色も強いため、やや下方修正した。",8030.272485728069,7925.70556640625,6995.0,7265.1106453204775
1,8100.0,8600.0,0.55,llm,統計モデル（LightGBM8.6千・XGB9.6千）を出発点に、rebuilt名義による減価を重視。clean名義の類似事例11〜13千より低く、salvage事例7.1千よりやや上と判断した。,8602.906454758642,9640.99609375,10994.0,9157.554294227708
1,13995.0,10800.0,0.6,llm,"統計モデル（約10,300）と近傍中央値11,000がほぼ一致。ワンオーナー・クリーンタイトルの販売店出品でやや上振れ要素があるため中間を採用。",10316.966777829604,10294.583984375,11000.0,11521.871124009062
1,5500.0,6600.0,0.6,llm,"統計モデル予測（約6,000〜7,100）と近傍中央値6,950を出発点に、走行距離は少なめだが状態はgoodで説明文も標準的な装備のみのため、中央付近の6,600とした。",5994.872934124315,7088.18359375,6950.0,5503.08065191062
1,7692.0,7000.0,0.5,llm,"統計モデル（約6,400〜6,600）を出発点に、RWD類似例が5,995や3,900と低い一方、ディーラー出品でレザーパッケージ・Clean CARFAXの記載があるため若干上乗せした。",6631.25627526321,6395.53271484375,7800.0,6298.828978968798
1,6995.0,5600.0,0.5,llm,"統計モデル予測（約5,200〜5,400）を出発点に、走行距離が多い同年式事例が4,000前後、低走行の良個体が9,000台という幅を考慮。excellent状態・V6・パレードブート付きの装備記述をやや加点して5,600とした。",5165.479232185807,5411.7939453125,6800.0,5326.956011270216
1,8995.0,9200.0,0.66,llm,"LightGBMと近傍中央値(約9,000)が類似事例8,900〜9,500と整合するため、その水準を採用。Buy Here Pay Here業者で価格は高め設定になりやすい一方、走行距離13.5万マイルとやや多い点を相殺した。",9222.828474993947,6663.0263671875,8995.0,8890.704672811422
1,6995.0,7300.0,0.5,llm,"統計モデル予測（7,600〜8,100）を出発点とし、FWDで走行距離が類似事例より多い点をやや減点。ディーラー出品で装備は標準的、類似事例の価格帯にばらつきがあるため確信度は中程度。",8063.660889397384,7601.3203125,7995.0,6035.84069406398
1,10995.0,10200.0,0.6,llm,"統計モデル（約9,000）を出発点にしつつ、V8テクノロジーパッケージ・ナビ・革・保証付きディーラー出品で状態良好とあり、類似のV8個体が10,500〜12,229で成約している点を加味して上方修正した。",8975.769258953946,9144.1435546875,10500.0,10379.342910646224
1,4000.0,3900.0,0.6,llm,"統計モデル（3,730〜3,903）を出発点とし、走行20万マイルでfwd・good状態と条件がやや劣る点を考慮。説明文は装備・欠陥の情報がなく価格を動かす材料はないため、類似事例の低め帯に沿って約3,900ドルとした。",3730.2981325917667,3902.609375,4999.0,4282.090668053316
1,19999.0,21000.0,0.5,llm,"統計モデル予測(約23,000)を出発点にしつつ、走行204,490マイルと類似事例より大幅に多いこと、V6のワークトラック（下位グレード）である点を減点。BHPH店の価格設定はやや高めだが、走行距離の重さを重く見た。",23001.053493237756,23281.283203125,25990.0,20693.747882447427
1,2250.0,4400.0,0.6,llm,"統計モデル予測(約4,500〜4,600)と最類似事例4,500を軸に、整備済み(タイミングベルト・タイヤ・ブレーキ)の好材料と個人売買・21年落ちを相殺してほぼ同水準と判断した。",4601.742520259421,4533.25830078125,4495.0,4072.705921097372
1,7990.0,7500.0,0.66,llm,"類似事例は6,500〜9,900で中央値7,000、統計モデルは7,700〜9,700。ディーラー出品の定型文で価格を動かす特記事項はないため、両者の中間寄りの7,500とした。",9698.586100176644,7717.361328125,7000.0,7446.987899680548
1,2500.0,3000.0,0.5,llm,"統計モデル（3,500〜4,200）と近傍中央値2,999の中間を採り、急ぎの売却（ASAP）と高走行を下方要因、6速MT・AWD・革内装を小幅な上方要因として相殺した。",3525.071335074546,4206.74609375,2999.0,3274.538604593991
