fold,実際,機能B,confidence,由来,理由,LightGBM,XGBoost,近傍5件の中央値
1,188.6,203.0,0.6,llm,統計モデル(約189〜191万円)を出発点に、装備充実で同グレード類似事例が220万円前後と高めであることを考慮し、やや上方に調整した。走行距離が類似事例より多い点は減点要素。,188.73755657990424,190.68392944335938,213.9
1,272.8,283.0,0.72,llm,統計モデル279〜281を出発点に、走行2万kmと装備充実（ワンオーナー・後側方検知等）を加味してやや上振れさせた。類似事例は269〜297で整合的。,279.0063897573159,281.4422607421875,279.8
1,135.7,130.0,0.62,llm,LightGBM・XGBoostがともに130前後で一致しており、類似事例も119〜151と概ねその範囲に分布するため、モデル予測をほぼそのまま採用した。,130.2084300869451,130.63497924804688,119.0
1,137.8,137.0,0.62,llm,統計モデル（140〜144万円）を出発点に、ほぼ同条件のファンベースG・HV・埼玉の事例2（135.8万円）を最も重視し、やや下方修正した。,143.75933078463595,140.2199249267578,109.8
1,115.4,125.0,0.45,llm,統計モデル（102〜109万円）と類似事例（142〜189万円）が乖離しているため中間を採用。査定対象は非ハイブリッドで走行距離もやや多いが、TRDエアロ・装備14点と充実しているため、モデル予測よりやや上に設定した。,102.30937719866972,108.55258178710938,148.4
1,160.7,162.0,0.62,llm,LightGBM163・XGB158・近傍中央値166とほぼ一致する範囲を採用。同グレード同年式の類似事例が139〜166に分布し、走行4万km・禁煙・保証付は好材料だが紫色は不利で中位に置いた。,163.7502682802405,157.7646026611328,165.8
1,148.3,143.0,0.6,llm,統計モデル（LGBM155/XGB144）を出発点に、走行距離4.6万kmと車齢8年で低走行の類似事例（155.7、135.1）と整合するため中間の143万円とした。高走行の低価格事例は条件が劣るため重み下げ。,155.52481899842726,143.67166137695312,120.7
1,227.1,244.5,0.78,llm,統計モデル予測(238〜246)を起点に、装備・条件がほぼ完全一致する事例2（黒・245.9)と事例1(248.9)を重視した。,240.17683765493067,238.3907470703125,245.9
1,118.0,118.0,0.55,llm,統計モデル(117〜122万)を出発点とし、装備が3点のみで簡素な点を考慮。走行距離が少なく保証付きなのは加点だが、類似事例の高価格帯は装備充実車のため過度に引き上げず118万とした。,116.84896362415373,122.11279296875,130.0
1,240.5,205.0,0.6,llm,LGBM/XGB予測(209〜219)を出発点に、最も条件が近い事例3（車齢6・1.8万km・装備充実で210.4万）を重視。一方で低価格事例もあるためやや下方修正した。,218.99200843535993,208.85641479492188,152.8
